title,description,category,brand,price,salePrice,totalStock,image
Nike Air Max,Comfortable running shoes,Footwear,Nike,120,100,50,https://source.unsplash.com/300x300/?nike-shoes
Adidas Ultraboost,High-performance sneakers,Footwear,Adidas,150,130,40,https://source.unsplash.com/300x300/?adidas-shoes
Levi's 501 Jeans,Classic straight fit jeans,Men,Levi's,90,70,60,https://source.unsplash.com/300x300/?levis-jeans
Zara Summer Dress,Light and breezy dress,Women,Zara,80,65,45,https://source.unsplash.com/300x300/?zara-dress
Puma Training Shorts,Perfect for workouts,Men,Puma,40,35,70,https://source.unsplash.com/300x300/?puma-shorts
H&M Kids Jacket,Warm and stylish,Kids,H&M,60,50,55,https://source.unsplash.com/300x300/?kids-jacket
Nike Running T-Shirt,Dry-fit material,Men,Nike,35,30,80,https://source.unsplash.com/300x300/?nike-shirt
Zara Handbag,Elegant leather handbag,Accessories,Zara,100,85,30,https://source.unsplash.com/300x300/?zara-bag
Adidas Kids Sneakers,Comfortable for playtime,Kids,Adidas,70,60,50,https://source.unsplash.com/300x300/?kids-sneakers
H&M Scarf,Soft woolen scarf,Accessories,H&M,25,20,90,https://source.unsplash.com/300x300/?scarf
Levi's Denim Jacket,Stylish outerwear,Men,Levi's,110,95,35,https://source.unsplash.com/300x300/?denim-jacket
Puma Cap,Sporty and adjustable,Accessories,Puma,20,15,100,https://source.unsplash.com/300x300/?puma-cap
Zara Heels,Elegant heels for occasions,Women,Zara,95,80,25,https://source.unsplash.com/300x300/?heels
Nike Hoodie,Warm and cozy,Men,Nike,65,55,60,https://source.unsplash.com/300x300/?nike-hoodie
H&M Dress,Perfect for summer,Women,H&M,50,40,70,https://source.unsplash.com/300x300/?summer-dress
Puma Backpack,Durable and spacious,Accessories,Puma,55,45,40,https://source.unsplash.com/300x300/?puma-backpack
Adidas Sports Bra,Comfort and support,Women,Adidas,40,35,50,https://source.unsplash.com/300x300/?sports-bra
Levi's T-Shirt,Classic white tee,Men,Levi's,30,25,60,https://source.unsplash.com/300x300/?white-tshirt
Zara Kids Pants,Comfortable cotton pants,Kids,Zara,45,35,50,https://source.unsplash.com/300x300/?kids-pants
H&M Sunglasses,Stylish UV protection,Accessories,H&M,30,25,80,https://source.unsplash.com/300x300/?sunglasses
Nike Slides,Easy to wear,Footwear,Nike,35,30,90,https://source.unsplash.com/300x300/?slides
