title,description,category,brand,price,salePrice,totalStock,image
Nike Men Item 1,Trendy and stylish,Men,Nike,4791,4707,61,"https://source.unsplash.com/400x400/?product,nike-men-1"
Puma Men Item 2,High quality and comfortable,Men,Puma,1052,860,64,"https://source.unsplash.com/400x400/?product,puma-men-2"
Puma Accessories Item 3,Made from sustainable materials,Accessories,Puma,2525,2468,33,"https://source.unsplash.com/400x400/?product,puma-accessories-3"
H&M Women Item 4,Limited edition design,Women,H&M,3993,3759,58,"https://source.unsplash.com/400x400/?product,h&m-women-4"
Levi's Accessories Item 5,Limited edition design,Accessories,Levi's,4249,4030,31,"https://source.unsplash.com/400x400/?product,levi's-accessories-5"
H&M Accessories Item 6,High quality and comfortable,Accessories,H&M,871,669,61,"https://source.unsplash.com/400x400/?product,h&m-accessories-6"
Puma Accessories Item 7,Perfect for daily wear,Accessories,Puma,2861,2654,76,"https://source.unsplash.com/400x400/?product,puma-accessories-7"
Zara Women Item 8,Made from sustainable materials,Women,Zara,2030,1839,52,"https://source.unsplash.com/400x400/?product,zara-women-8"
Nike Women Item 9,Perfect for daily wear,Women,Nike,1346,1143,35,"https://source.unsplash.com/400x400/?product,nike-women-9"
Zara Men Item 10,Trendy and stylish,Men,Zara,2721,2620,13,"https://source.unsplash.com/400x400/?product,zara-men-10"
Puma Women Item 11,Trendy and stylish,Women,Puma,1703,1409,87,"https://source.unsplash.com/400x400/?product,puma-women-11"
H&M Accessories Item 12,Limited edition design,Accessories,H&M,2472,2268,34,"https://source.unsplash.com/400x400/?product,h&m-accessories-12"
Nike Accessories Item 13,High quality and comfortable,Accessories,Nike,709,551,88,"https://source.unsplash.com/400x400/?product,nike-accessories-13"
Nike Footwear Item 14,Limited edition design,Footwear,Nike,542,247,76,"https://source.unsplash.com/400x400/?product,nike-footwear-14"
H&M Footwear Item 15,Best seller of the season,Footwear,H&M,3572,3334,81,"https://source.unsplash.com/400x400/?product,h&m-footwear-15"
Nike Accessories Item 16,Made from sustainable materials,Accessories,Nike,2661,2362,72,"https://source.unsplash.com/400x400/?product,nike-accessories-16"
